conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
1,50220,7290,11520,216, ,0.147456,0.001296, ,5.44921875,90.0, ,9216,27,5,1, ,72,958,233280,0.4141975308641975,0.31732253086419754,96624,74025, ,233280.0,96624.0,262267.2, ,116640.0,74025.0,138847.5, ,58320.0,74025.0,91521.0, ,29160.0,74025.0,82773.0, , ,0.4141975308641975,0.6346450617283951,1.2692901234567902,2.5385802469135803, ,0.2822503157085598,0.5331388753848647,0.8088307601534074,0.8943133630531696, ,480983, ,0.15390356831738336, ,0.5452733256684748
2,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.09315043438500228,38852,15279, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,15279.0,45589.95, ,20503.125,15279.0,25086.825, , ,0.23686633135192806,0.23686633135192806,0.37260173754000914,0.7452034750800183, ,0.08697033138548024,0.17394066277096049,0.33513965248919997,0.6090447874531751, ,196857, ,0.0776147152501562, ,0.8924274981331627
3,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193427, ,0.043256629115893855, ,0.9082527258345526
4,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193025, ,0.043346716746535424, ,0.9101442818287787
5,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193163, ,0.04331574887530221, ,0.9094940542443429
6,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,192745, ,0.04340968637318737, ,0.9114664453033802
7,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,196324, ,0.04261832481000795, ,0.8948503494223834
8,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,195674, ,0.04275989656265012, ,0.8978229095332032
9,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,193295, ,0.043286168809332885, ,0.9088729661915725
10,5928,24300,1728,240, ,0.110592,0.01944, ,0.8576388888888888,20.0, ,6912,1215,1,1, ,20,1597,164025,0.23686633135192806,0.05101051668952904,38852,8367, ,164025.0,38852.0,175680.6, ,82012.5,19426.0,87840.3, ,41006.25,9713.0,43920.15, ,20503.125,8367.0,23013.225, , ,0.23686633135192806,0.23686633135192806,0.23686633135192806,0.4080841335162323, ,0.047626203462419865,0.09525240692483973,0.19050481384967946,0.36357355390215845, ,192689, ,0.0434223022590807, ,0.9117313391008309
